metric,mode,mean,ci_lower,ci_upper,std,non_overlap
accuracy,binary,0.6557360000000001,0.627,0.687,0.01511741723972717,
accuracy,quadratic,0.6886700000000001,0.66,0.7170249999999999,0.014736047638359449,False
recall,binary,0.8776510752283728,0.8513644703919934,0.9039163636598071,0.013939738937421724,
recall,quadratic,0.8157471666715983,0.7839703124054616,0.8480426934217707,0.016703832905794743,False
f1_score,binary,0.7359281611695587,0.7099705688517339,0.7632050995303065,0.013787697235919879,
f1_score,quadratic,0.7412045680235818,0.7145327258486861,0.7687602164153332,0.01431036421114608,False
